evolution$generation,humanInformedRatio,humanInformProbability,humanFollowProbability,rescuedDynamic,evolution$samples
15300,0.018480498392462276,0.4459460452854771,0.988792147762311,30.919999999999995,100
15300,0.01861329658987187,0.6649257798382455,0.9220021313804095,52.49999999999999,100
15300,0.03874715188643843,0.177626060265636,0.8157950579260304,9.780000000000001,100
15300,0.9801423793644296,0.01965095893633906,0.0010299751706915417,59.15999999999999,100
15300,0.017465745386509836,0.541262991601708,0.8880643978104829,30.799999999999997,100
15300,0.01644415868684168,0.4725759111588626,1.0,23.82999999999999,100
15300,0.026878265296653478,0.355751602891549,0.3585575611362555,41.28,100
15300,0.017389045225481917,0.9863174306677297,0.5970908769551496,52.970000000000006,100
15300,0.04009123021875453,0.18601980066723572,0.2715349357795317,22.660000000000004,100
15300,0.015624798574711529,0.7726045405809042,0.7151437948688463,49.339999999999996,100
15300,0.015124109646600752,0.7097355712406397,0.7180344551704282,36.92999999999999,100
15300,0.016125145124047346,0.6851303505373436,0.9969015907641998,48.46,100
15300,0.020403216697533744,0.5870858916739758,0.7645868296731075,29.019999999999996,100
15300,0.1904284613068855,0.08295879420893482,0.0,14.889999999999995,100
15300,0.042298632090082326,0.19187619658527477,0.23211969471952437,29.900000000000006,100
15300,0.017010720225339768,0.7871323902203985,1.0,41.35999999999999,100
15300,0.01661208125603339,0.4159283362187121,1.0,20.939999999999998,100
15300,0.01659237244896143,0.6724610999369529,0.8710001342117368,43.080000000000005,100
15300,0.01606925638273242,0.8740804274967167,0.7032459520895136,46.91999999999999,100
15300,0.019163866156436882,0.4952877919539004,0.9900922707199831,35.28999999999999,100
15300,0.01850981188992326,0.4563389031071927,0.9887820825923247,27.879999999999995,100
15300,0.0508453875636086,0.16102188429244293,0.8158870629734588,10.66999999999999,100
15300,0.0935321728539621,0.13745406027737192,0.23921341985594402,18.369999999999997,100
15300,0.019610850038448566,0.6157799602598754,0.6668776135824007,40.79,100
15300,0.01657656533988034,0.6914217311403873,0.8918613777274119,44.7,100
15300,0.016590397975278844,0.3926751300270917,0.9953941675870442,38.400000000000006,100
15300,0.015702699835655254,0.6579272708378461,1.0,33.07999999999999,100
15300,0.02243438464247112,0.9139449504113804,0.9074925399534188,52.849999999999994,100
15300,0.01596772259884331,0.8931309846833488,0.6854076997502481,43.11,100
15300,0.10453868427160369,0.095346849712458,0.34206836089976705,7.849999999999993,100
15300,0.018230611095737072,0.6241550402460248,1.0,35.440000000000005,100
15300,0.021742068037320445,0.30115723876483796,0.8407298467797998,17.53,100
15300,0.015217815095760897,0.9442591406565073,1.0,53.21999999999999,100
15300,0.012852144361435225,0.8043779182801644,0.9719273465703844,48.77,100
15300,0.017728310005639618,0.5957685617017421,0.8542070464399169,33.88,100
15300,0.016227276376580373,0.633287164118894,0.9923398968477053,42.02000000000001,100
15300,0.12300675749794182,0.07727660154876816,0.4556734900357298,11.839999999999998,100
15300,0.019261065257736784,0.53250696025394,0.8916515882058451,36.06999999999999,100
15300,0.016662169823837027,0.7983316157678892,1.0,37.14,100
15300,0.05093751394792547,0.15270914839661742,0.8168548809399304,14.689999999999994,100
15300,0.9186797532215103,0.03687187657848209,0.0,51.87999999999999,100
15300,0.019262158018238447,0.5157039762071632,0.8911625111111409,33.269999999999996,100
15300,0.01781218046431811,0.48432727281120397,0.999707653913901,32.79999999999999,100
15300,0.019166305341302505,0.833011617763938,0.9089392886079095,47.370000000000005,100
15300,0.02043528488909186,0.4607730473042086,0.8859709124799587,28.239999999999995,100
15300,0.016167244496823364,0.7110479581292448,0.8802682956617891,38.64,100
15300,0.02806258420975999,0.24737210404736215,0.8836897980914895,10.229999999999997,100
15300,0.017898174979903262,0.2883129791318095,0.9235637952187149,20.139999999999997,100
